Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
Pink Floyd\Pink Floyd - Wish You Were Here _PVG_.pdf,Pink Floyd\Pink Floyd - Wish You Were Here _PVG_,12,Pink Floyd\Pink Floyd - Wish You Were Here,11,100.0% vs 91.2%,Compare and choose
Pink Floyd\Pink Floyd - Wish You Were Here.pdf,Pink Floyd\Pink Floyd - Wish You Were Here,11,Pink Floyd\Pink Floyd - Wish You Were Here _PVG_,12,100.0% vs 91.2%,Compare and choose
Queen\Queen - Greatest Hits 1 _Score_.pdf,Queen\Queen - Greatest Hits 1 _Score_,16,Queen\Queen - Greatest Hits II _PVG_,17,100.0% vs 82.0%,Compare and choose
Queen\Queen - Greatest Hits II _PVG_.pdf,Queen\Queen - Greatest Hits II _PVG_,17,Queen\Queen - Greatest Hits,1,100.0% vs 82.4%,Compare and choose
Queen\Queen - Greatest Hits.pdf,Queen\Queen - Greatest Hits,1,Queen\Queen - Greatest Hits II _PVG_,17,100.0% vs 82.4%,Compare and choose
REO Speedwagon\REO Speedwagon - Good Trouble.pdf,Reo Speedwagon\REO Speedwagon - Good Trouble,1,Reo Speedwagon\REO Speedwagon - The Hits,12,100.0% vs 70.4%,Compare and choose
REO Speedwagon\REO Speedwagon - Hi Infidelity.pdf,Reo Speedwagon\REO Speedwagon - Hi Infidelity,1,Reo Speedwagon\REO Speedwagon - The Hits,12,100.0% vs 72.7%,Compare and choose
REO Speedwagon\REO Speedwagon - The Hits.pdf,Reo Speedwagon\REO Speedwagon - The Hits,12,Reo Speedwagon\REO Speedwagon - Hi Infidelity,1,100.0% vs 72.7%,Compare and choose
Steve Miller Band\Steve Miller Band - 13 Biggest Hits.pdf,Steve Miller Band\Steve Miller Band - 13 Biggest Hits,13,Steve Miller Band\Steve Miller Band - Rock Best Hits _Jap Score_,8,100.0% vs 74.1%,Compare and choose
Steve Miller Band\Steve Miller Band - Rock Best Hits _Jap Score_.pdf,Steve Miller Band\Steve Miller Band - Rock Best Hits _Jap Score_,8,Steve Miller Band\Steve Miller Band - 13 Biggest Hits,13,100.0% vs 74.1%,Compare and choose
Taylor Swift\Taylor Swift - Fearless _PVG Book_.pdf,Taylor Swift\Taylor Swift - Fearless _PVG Book_,16,Taylor Swift\Taylor Swift - Speak Now _PVG Book_,14,100.0% vs 81.2%,Compare and choose
Taylor Swift\Taylor Swift - Speak Now _PVG Book_.pdf,Taylor Swift\Taylor Swift - Speak Now _PVG Book_,14,Taylor Swift\Taylor Swift - Fearless _PVG Book_,16,100.0% vs 81.2%,Compare and choose
Tom Waits\Tom Waits - Anthology.pdf,Tom Waits\Tom Waits - Anthology,24,Tom Waits\Tom Waits - Tom Waits Anthology,7,100.0% vs 80.8%,Compare and choose
Tom Waits\Tom Waits - Tom Waits Anthology.pdf,Tom Waits\Tom Waits - Tom Waits Anthology,7,Tom Waits\Tom Waits - Anthology,24,100.0% vs 80.8%,Compare and choose
Van Morrison\Van Morrison - Anthology _2_.pdf,Van Morrison\Van Morrison - Anthology _2_,21,Van Morrison\Van Morrison - Anthology,25,100.0% vs 92.3%,Compare and choose
Van Morrison\Van Morrison - Anthology.pdf,Van Morrison\Van Morrison - Anthology,25,Van Morrison\Van Morrison - Anthology _2_,21,100.0% vs 92.3%,Compare and choose
Van Morrison\Van Morrison - Back On Top _Book_.pdf,Van Morrison\Van Morrison - Back On Top _Book_,10,Van Morrison\Van Morrison - Days Like These _Book_,2,100.0% vs 74.3%,Compare and choose
Van Morrison\Van Morrison - Days Like These _Book_.pdf,Van Morrison\Van Morrison - Days Like These _Book_,2,Van Morrison\Van Morrison - Back On Top _Book_,10,100.0% vs 74.3%,Compare and choose
Various Artists\Various Artists - 50 Platinum Country Hits.pdf,Various Artists\Various Artists - 50 Platinum Country Hits,50,Various Artists\Various Artists - Best In Country Sheet Music,26,100.0% vs 73.6%,Compare and choose
Various Artists\Various Artists - 50s And 60s.pdf,Various Artists\Various Artists - 50s And 60s,81,Various Artists\Various Artists - The 60s And 70s Rock Score,9,100.0% vs 74.0%,Compare and choose
Various Artists\Various Artists - 62 Stars 62 Hits _60s Compilation_.pdf,Various Artists\Various Artists - 62 Stars 62 Hits _60s Compilation_,65,Various Artists\Various Artists - 70s Hits _Easy Piano_,20,100.0% vs 72.5%,Compare and choose
Various Artists\Various Artists - 70s Hits _Easy Piano_.pdf,Various Artists\Various Artists - 70s Hits _Easy Piano_,20,Various Artists\Various Artists - 62 Stars 62 Hits _60s Compilation_,65,100.0% vs 72.5%,Compare and choose
Various Artists\Various Artists - Adult Contemporary Hits Of The Nineties.pdf,Various Artists\Various Artists - Adult Contemporary Hits Of The Nineties,10,Various Artists\Adult Contemporary Hits Of The Nineties,30,100.0% vs 81.2%,Compare and choose
