"Artist","Book","OriginalFilename","NewFilename","WillRename","OriginalPath","NewPath"
"Allman Brothers","Best Of [pvg]","Gregg Allman - Black Hearted Woman.pdf","Allman Brothers - Black Hearted Woman.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman - Black Hearted Woman.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Black Hearted Woman.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman - Dreams I'll Never See.pdf","Allman Brothers - Dreams I'll Never See.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman - Dreams I'll Never See.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Dreams I'll Never See.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman - It's Not My Cross To Bear.pdf","Allman Brothers - It's Not My Cross To Bear.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman - It's Not My Cross To Bear.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - It's Not My Cross To Bear.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman - Wasted Words.pdf","Allman Brothers - Wasted Words.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman - Wasted Words.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Wasted Words.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman - Whipping Post.pdf","Allman Brothers - Whipping Post.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman - Whipping Post.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Whipping Post.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman And Betts Gamble - Stand Back.pdf","Allman Brothers - Stand Back.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman And Betts Gamble - Stand Back.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Stand Back.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman And Robert Kim Payne - Midnight Rider.pdf","Allman Brothers - Midnight Rider.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman And Robert Kim Payne - Midnight Rider.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Midnight Rider.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman And Steve Allman - Melissa.pdf","Allman Brothers - Melissa.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman And Steve Allman - Melissa.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Melissa.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman, Warren Haynes, Allan Woody And John Jaworowicz - End Of The Line.pdf","Allman Brothers - End Of The Line.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman, Warren Haynes, Allan Woody And John Jaworowicz - End Of The Line.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - End Of The Line.pdf"
"Allman Brothers","Best Of [pvg]","Mckinley Morganfield - Trouble No More.pdf","Allman Brothers - Trouble No More.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Mckinley Morganfield - Trouble No More.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Trouble No More.pdf"
"Allman Brothers","Best Of [pvg]","Spencer Davis And Edward Hardin - Don't Want You No More.pdf","Allman Brothers - Don't Want You No More.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Spencer Davis And Edward Hardin - Don't Want You No More.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Don't Want You No More.pdf"
"Allman Brothers","Best Of [pvg]","Unknown Artist - Come And Go Blues.pdf","Allman Brothers - Come And Go Blues.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Unknown Artist - Come And Go Blues.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Come And Go Blues.pdf"
"Allman Brothers","Best Of [pvg]","Unknown Artist - Little Martha.pdf","Allman Brothers - Little Martha.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Unknown Artist - Little Martha.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Little Martha.pdf"
"Allman Brothers","Best Of [pvg]","Unknown Artist - Nobody Knows.pdf","Allman Brothers - Nobody Knows.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Unknown Artist - Nobody Knows.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Nobody Knows.pdf"
"Allman Brothers","Best Of [pvg]","Unknown Artist - Southbound.pdf","Allman Brothers - Southbound.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Unknown Artist - Southbound.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Southbound.pdf"
"Allman Brothers","Best Of [pvg]","Warren Haynes - Gambler's Roll.pdf","Allman Brothers - Gambler's Roll.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Warren Haynes - Gambler's Roll.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Gambler's Roll.pdf"
"Allman Brothers","Best Of [pvg]","Willie Cobbs - You Don't Love Me.pdf","Allman Brothers - You Don't Love Me.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Willie Cobbs - You Don't Love Me.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - You Don't Love Me.pdf"
"Allman Brothers","Best Of [pvg]","Willy Mctell - Statesboro Blues.pdf","Allman Brothers - Statesboro Blues.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Willy Mctell - Statesboro Blues.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Statesboro Blues.pdf"
"America","America [pvg Book]","Dan Peek - Donkey Jaw.pdf","America - Donkey Jaw.pdf","True","America\America [pvg Book]\Songs\Dan Peek - Donkey Jaw.pdf","America\books\America [pvg Book]\America - Donkey Jaw.pdf"
"America","America [pvg Book]","Dan Peek - Everyone I Meet Is From California.pdf","America - Everyone I Meet Is From California.pdf","True","America\America [pvg Book]\Songs\Dan Peek - Everyone I Meet Is From California.pdf","America\books\America [pvg Book]\America - Everyone I Meet Is From California.pdf"
"America","America [pvg Book]","Dan Peek - Never Found The Time.pdf","America - Never Found The Time.pdf","True","America\America [pvg Book]\Songs\Dan Peek - Never Found The Time.pdf","America\books\America [pvg Book]\America - Never Found The Time.pdf"
"America","America [pvg Book]","David Burchfield - Sandman.pdf","America - Sandman.pdf","True","America\America [pvg Book]\Songs\David Burchfield - Sandman.pdf","America\books\America [pvg Book]\America - Sandman.pdf"
"America","America [pvg Book]","Dewey Bunnell - Children.pdf","America - Children.pdf","True","America\America [pvg Book]\Songs\Dewey Bunnell - Children.pdf","America\books\America [pvg Book]\America - Children.pdf"
"America","America [pvg Book]","Dewey Bunnell - Three Roses.pdf","America - Three Roses.pdf","True","America\America [pvg Book]\Songs\Dewey Bunnell - Three Roses.pdf","America\books\America [pvg Book]\America - Three Roses.pdf"
"America","America [pvg Book]","Dewey Runnell - Pigeon Song.pdf","America - Pigeon Song.pdf","True","America\America [pvg Book]\Songs\Dewey Runnell - Pigeon Song.pdf","America\books\America [pvg Book]\America - Pigeon Song.pdf"
"America","America [pvg Book]","Dewey Runnell - Riverside.pdf","America - Riverside.pdf","True","America\America [pvg Book]\Songs\Dewey Runnell - Riverside.pdf","America\books\America [pvg Book]\America - Riverside.pdf"
"America","America [pvg Book]","Gerry Beckley - Here.pdf","America - Here.pdf","True","America\America [pvg Book]\Songs\Gerry Beckley - Here.pdf","America\books\America [pvg Book]\America - Here.pdf"
"America","America [pvg Book]","Gerry Beckley - I Need You.pdf","America - I Need You.pdf","True","America\America [pvg Book]\Songs\Gerry Beckley - I Need You.pdf","America\books\America [pvg Book]\America - I Need You.pdf"
"America","America [pvg Book]","Gerry Rafferty - Clarice.pdf","America - Clarice.pdf","True","America\America [pvg Book]\Songs\Gerry Rafferty - Clarice.pdf","America\books\America [pvg Book]\America - Clarice.pdf"
"America","America [pvg Book]","Unknown Artist - A Horse With No Name.pdf","America - A Horse With No Name.pdf","True","America\America [pvg Book]\Songs\Unknown Artist - A Horse With No Name.pdf","America\books\America [pvg Book]\America - A Horse With No Name.pdf"
