artist,book,is_duplicate,file_count
Various Artists,Various Artists - All Time Best Collection Vol 3,False,4
Various Artists,Various Artists - Best In Country Sheet Music,False,7
Various Artists,Various Artists - Best Of 80s Rock [pvg],False,19
Various Artists,Various Artists - Best Of The 70s & 80s [solo Piano],False,5
Various Artists,Various Artists - Best Rock Songs 2000-2005,False,16
Various Artists,Various Artists - Biggest Pop Hits 1996-1997,False,10
Various Artists,Various Artists - Chart Hits 04-05,False,7
Various Artists,Various Artists - Chart Hits 98-99,False,22
Various Artists,Various Artists - Collection Of Country Music,False,33
Various Artists,Various Artists - Complete Piano Player Easy Blues (22 Songs),False,5
Various Artists,Various Artists - Country Classics [pvg],False,15
Various Artists,Various Artists - Even More Songs Of The Eighties [pvg],False,15
Various Artists,Various Artists - Golden Era Of Rock And Roll (grab It!),False,34
Various Artists,Various Artists - Great Bands Of The 60s [pvg Book],False,5
Various Artists,Various Artists - Great Bands Of The 70s [pvg Book],False,17
Various Artists,Various Artists - Great Big Book Of Children's Songs,False,70
Various Artists,Various Artists - Great Country Collection,False,4
Various Artists,Various Artists - Great Songs Of The 70s [guitar Tab],False,10
Various Artists,Various Artists - Greatest Hits Of 2004-2005,False,30
Various Artists,Various Artists - Greatest Love Songs Of 80s,False,8
Various Artists,Various Artists - Greatest Love Songs Of The 60s,False,20
Various Artists,Various Artists - Greatest Love Songs Of The 70s,False,5
Various Artists,Various Artists - Greatest Love Songs Of The 80s,False,18
Various Artists,Various Artists - Heavy Metal Vol. Iii,False,9
Various Artists,Various Artists - Heavy Rock Hits Of The 80s [pvg],False,6
Various Artists,Various Artists - History Of Rock - Late 80s,False,40
Various Artists,Various Artists - More Songs Of The Eighties [pvg],False,39
Various Artists,Various Artists - Music For The Millenium - The Seventies,False,4
Various Artists,Various Artists - Music For The Millennium The Seventies,False,7
Various Artists,Various Artists - Oldies But Goodies,False,11
Various Artists,Various Artists - Popular Piano Solos,False,5
Various Artists,Various Artists - Songs Of The 60s [pvg],False,16
Various Artists,Various Artists - The 1980s,False,26
Various Artists,Various Artists - The 60s And 70s Rock Score,False,3
Various Artists,Various Artists - The Best Children's Songs Ever (easy Piano),False,47
Various Artists,Various Artists - The Decade Series - The 1980s,False,25
Various Artists,Various Artists - The Greatest Love Songs Of The 80s,False,6
Various Artists,Various Artists - Ultimate 100 Pop Hits Of The 90s,False,38
Various Artists,Various Artists - Ultimate 80's Songs,False,10
Various Artists,Various Artists - Ultimate Pop Sheet Music Collection 2000,False,43
Vince Guaraldi,The Vince Guaraldi Collection,False,9
Vince Guaraldi,Vince Guaraldi - Peanuts Songbook,False,8
Vince Guaraldi,Vince Guaraldi - The Vince Guaraldi Collection,False,4
Whitney Houston,Whitney Houston - The Best Of,False,5
Who,Who - Who Anthology,False,16
Who,Who Anthology-(0001),False,1
Yes,Yes - Complete Deluxe Edition,False,36
Zz Top,Greatest Hits,False,21
Zz Top,Zz Top- Greatest Hits (2),False,6
Zz Top,Zz Top- Greatest Hits,False,8
_broadway Shows,Various Artists - High School Musical _score_,False,8
_broadway Shows,Various Artists - Little Mermaid Workshop Score.pdf,False,15
_movie And Tv,Randy Newman - Toy Story 2,False,1
