BookFolder,NormalizedName,PDFCount,TotalFiles,IsDuplicate,DuplicateCount
Elo/Face The Music [pvg Bok],Elo/Face The Music [pvg Bok],2,2,Yes,2
Elo/Greatest Hits,Elo/Greatest Hits,1,1,Yes,2
Elo/Out Of The Blue [book],Elo/Out Of The Blue [book],1,1,Yes,2
Elton John/A Single Man,Elton John/A Single Man,10,10,Yes,2
Elton John/Captain Fantastic,Elton John/Captain Fantastic,1,1,No,1
Elton John/Elton John - A Single Man,Elton John/A Single Man,6,6,Yes,2
Elton John/Elton John - Goodbye Yellow Brick Road,Elton John/Goodbye Yellow Brick Road,2,2,Yes,2
Elton John/Elton John - Greatest Hits 1970-2002,Elton John/Greatest Hits 1970-2002,19,19,Yes,2
Elton John/Elton John - Ice On Fire,Elton John/Ice On Fire,6,6,Yes,2
Elton John/Elton John - Made In England,Elton John/Made In England,7,7,Yes,2
Elton John/Elton John - Peachtree Road,Elton John/Peachtree Road,5,5,Yes,2
Elton John/Elton John - Reg Strikes Back,Elton John/Reg Strikes Back,4,4,Yes,2
Elton John/Elton John - Sleeping With The Past,Elton John/Sleeping With The Past,1,1,Yes,2
Elton John/Elton John - Songs From The West Coast,Elton John/Songs From The West Coast,2,2,Yes,2
