Artist,BookName,SourcePath,SourceExists,ProcessedFolderName,ProcessedPath,ProcessedExists,FileCount,Status
Carole King,Carole King - Keyboard Play-Along Vol 22,Carole King\Carole King - Keyboard Play-Along Vol 22.pdf,YES,Carole King - Keyboard Play-Along Vol 22,Carole King\Carole King - Keyboard Play-Along Vol 22,YES,8,COMPLETE
Carole King,Carole King - Tapestry,Carole King\Carole King - Tapestry.pdf,YES,Carole King - Tapestry,Carole King\Carole King - Tapestry,YES,12,COMPLETE
Carole King,Carole King - The New Best Of Carole King,Carole King\Carole King - The New Best Of Carole King.pdf,YES,Carole King - The New Best Of Carole King,Carole King\Carole King - The New Best Of Carole King,YES,19,COMPLETE
Carole King,Carole King - Youre The Voice,Carole King\Carole King - Youre The Voice.pdf,YES,Carole King - Youre The Voice,Carole King\Carole King - Youre The Voice,YES,11,COMPLETE
Carpenters,Carpenters - Anthology,Carpenters\Carpenters - Anthology.pdf,YES,Carpenters - Anthology,Carpenters\Carpenters - Anthology,YES,43,COMPLETE
Carpenters,Carpenters - Love Songs,Carpenters\Carpenters - Love Songs.pdf,YES,Carpenters - Love Songs,Carpenters\Carpenters - Love Songs,YES,22,COMPLETE
Carpenters,Carpenters - Note For Note,Carpenters\Carpenters - Note For Note.pdf,YES,Carpenters - Note For Note,Carpenters\Carpenters - Note For Note,YES,11,COMPLETE
Cheap Trick,Cheap Trick - Greatest Hits _Score_,Cheap Trick\Cheap Trick - Greatest Hits _Score_.pdf,YES,Cheap Trick - Greatest Hits _Score_,Cheap Trick\Cheap Trick - Greatest Hits _Score_,YES,1,COMPLETE
Colbie Caillat,Colbie Caillat - Breakthrough _PVG Book_,Colbie Caillat\Colbie Caillat - Breakthrough _PVG Book_.pdf,YES,Colbie Caillat - Breakthrough _PVG Book_,Colbie Caillat\Colbie Caillat - Breakthrough _PVG Book_,YES,13,COMPLETE
Cole Porter,Cole Porter - The Very Best Of Cole Porter,Cole Porter\Cole Porter - The Very Best Of Cole Porter.pdf,YES,Cole Porter - The Very Best Of Cole Porter,Cole Porter\Cole Porter - The Very Best Of Cole Porter,YES,38,COMPLETE
Cream,Cream - Cream Complete,Cream\Cream - Cream Complete.pdf,YES,Cream - Cream Complete,Cream\Cream - Cream Complete,YES,25,COMPLETE
Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,Creedence Clearwater Revival\Creedence Clearwater Revival - 8 Pcs Book.pdf,YES,Creedence Clearwater Revival - 8 Pcs Book,Creedence Clearwater Revival\Creedence Clearwater Revival - 8 Pcs Book,YES,8,COMPLETE
Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,Creedence Clearwater Revival\Creedence Clearwater Revival - Best Of.pdf,YES,Creedence Clearwater Revival - Best Of,Creedence Clearwater Revival\Creedence Clearwater Revival - Best Of,YES,20,COMPLETE
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Anthology,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Anthology.pdf,YES,Creedence Clearwater Revival - Guitar Anthology,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Anthology,YES,20,COMPLETE
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book.pdf,YES,Creedence Clearwater Revival - Guitar Tab Book,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book,YES,7,COMPLETE
Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,Creedence Clearwater Revival\Creedence Clearwater Revival - Ultimate Minus One.pdf,YES,Creedence Clearwater Revival - Ultimate Minus One,Creedence Clearwater Revival\Creedence Clearwater Revival - Ultimate Minus One,YES,7,COMPLETE
Crosby Stills and Nash,Crosby Stills Nash And Young - Deja Vu _PVG Book_,Crosby Stills and Nash\Crosby Stills Nash And Young - Deja Vu _PVG Book_.pdf,YES,Crosby Stills Nash And Young - Deja Vu _PVG Book_,Crosby Stills And Nash\Crosby Stills Nash And Young - Deja Vu _PVG Book_,YES,21,COMPLETE
Crosby Stills and Nash,Crosby Stills Nash And Young - The Guitar Collection,Crosby Stills and Nash\Crosby Stills Nash And Young - The Guitar Collection.pdf,YES,Crosby Stills Nash And Young - The Guitar Collection,Crosby Stills And Nash\Crosby Stills Nash And Young - The Guitar Collection,YES,0,COMPLETE
Crowded House,Crowded House - The Very Best Of _PVG Book_,Crowded House\Crowded House - The Very Best Of _PVG Book_.pdf,YES,Crowded House - The Very Best Of _PVG Book_,Crowded House\Crowded House - The Very Best Of _PVG Book_,YES,19,COMPLETE
Crowded House,Crowded House - Together Alone _PVG Book_,Crowded House\Crowded House - Together Alone _PVG Book_.pdf,YES,Crowded House - Together Alone _PVG Book_,Crowded House\Crowded House - Together Alone _PVG Book_,YES,13,COMPLETE
David Crosby,David Crosby - Songbook _Lead Sheets_,David Crosby\David Crosby - Songbook _Lead Sheets_.pdf,YES,David Crosby - Songbook _Lead Sheets_,David Crosby\David Crosby - Songbook _Lead Sheets_,YES,1,COMPLETE
Dire Straits,Dire Straits - Best Of Dire Straits _Guitar Tab_,Dire Straits\Dire Straits - Best Of Dire Straits _Guitar Tab_.pdf,YES,Dire Straits - Best Of Dire Straits _Guitar Tab_,Dire Straits\Dire Straits - Best Of Dire Straits _Guitar Tab_,YES,22,COMPLETE
