"Artist","BookName","SourcePath","HasFolder","HasPDFs","Status"
"John Denver","John Denver - I Want To Live [PVG Book]","C:\Work\AWSMusic\SheetMusic\John Denver\Books\John Denver - I Want To Live [PVG Book].pdf","False","False","Missing"
"John Denver","John Denver - The Authentic Guitar Style Of.","C:\Work\AWSMusic\SheetMusic\John Denver\Books\John Denver - The Authentic Guitar Style Of..pdf","False","False","Missing"
"John Lennon","John Lennon - Collection","C:\Work\AWSMusic\SheetMusic\John Lennon\Books\John Lennon - Collection.pdf","False","False","Missing"
"John Lennon","John Lennon - Greatest Hits","C:\Work\AWSMusic\SheetMusic\John Lennon\Books\John Lennon - Greatest Hits.pdf","False","False","Missing"
"Joni Mitchell","Joni Mitchell - The Best Of [PVG]","C:\Work\AWSMusic\SheetMusic\Joni Mitchell\Books\Joni Mitchell - The Best Of [PVG].pdf","False","False","Missing"
"Joni Mitchell","Joni Mitchell Songbook Complete Vol1 1966-1970","C:\Work\AWSMusic\SheetMusic\Joni Mitchell\Books\Joni Mitchell Songbook Complete Vol1 1966-1970.pdf","True","True","Complete"
"Journey","Journey - Complete Songbook","C:\Work\AWSMusic\SheetMusic\Journey\Books\Journey - Complete Songbook.pdf","False","False","Missing"
"Journey","Journey - Complete","C:\Work\AWSMusic\SheetMusic\Journey\Books\Journey - Complete.pdf","False","False","Missing"
"Journey","Journey - Frontiers [Jap Band Score]","C:\Work\AWSMusic\SheetMusic\Journey\Books\Journey - Frontiers [Jap Band Score].pdf","False","False","Missing"
"Journey","Journey - Greatest Hits (Book)","C:\Work\AWSMusic\SheetMusic\Journey\Books\Journey - Greatest Hits (Book).pdf","False","False","Missing"
"Journey","Journey - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Journey\Books\Journey - Greatest Hits.pdf","False","False","Missing"
"Journey","Journey - Superbest [Jap Band Score]","C:\Work\AWSMusic\SheetMusic\Journey\Books\Journey - Superbest [Jap Band Score].pdf","False","False","Missing"
"Journey","Journey - The Guitar Collection","C:\Work\AWSMusic\SheetMusic\Journey\Books\Journey - The Guitar Collection.pdf","False","False","Missing"
