artist,expected_book,expected_count,status,keep_folder,delete_folders,notes
Frank Zappa,Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,12,MISSING,,,No matching folder found in S3
Fray,Fray - How To Save A Life _Book_,3,MISSING,,,No matching folder found in S3
Garth Brooks,Garth Brooks - No Fences _Guitar Tab_,7,MISSING,,,No matching folder found in S3
Garth Brooks,Garth Brooks - The Hits _Guitar Tab_,1,MISSING,,,No matching folder found in S3
Garth Brooks,Garth Brooks - The Limited Series,21,DUPLICATE,The Limited Series,Garth Brooks - The Limited Series,"Keep 21 songs, delete 13 songs from 1 folders"
Genesis,Genesis - A Trick Of The Tail _Book_,8,MISSING,,,No matching folder found in S3
Genesis,Genesis - Anthology,44,DUPLICATE,Anthology,Genesis - Anthology,"Keep 44 songs, delete 16 songs from 1 folders"
Genesis,Genesis - Best Of Vol 1,10,DUPLICATE,Best Of Vol 1,Genesis - Best Of Vol 1,"Keep 10 songs, delete 7 songs from 1 folders"
Genesis,Genesis - Invisible Touch _Book_,8,MISSING,,,No matching folder found in S3
Genesis,Genesis - Rock Score,4,DUPLICATE,Rock Score,Genesis - Rock Score,"Keep 4 songs, delete 3 songs from 1 folders"
Genesis,Genesis - Seconds Out,8,DUPLICATE,Seconds Out,Genesis - Seconds Out,"Keep 8 songs, delete 6 songs from 1 folders"
Genesis,Genesis - Selling England By The Pound,7,DUPLICATE,Selling England By The Pound,Genesis - Selling England By The Pound,"Keep 7 songs, delete 4 songs from 1 folders"
George Michael,George Michael - Greatest Hits,29,DUPLICATE,Greatest Hits,George Michael - Greatest Hits,"Keep 29 songs, delete 10 songs from 1 folders"
George Michael,George Michael - Older _Book_,11,MISSING,,,No matching folder found in S3
Grand Funk Railroad,Grand Funk - Closer To Home _PVG Book_,5,MISSING,,,No matching folder found in S3
Grand Funk Railroad,Grand Funk - Were An American Band _PVG Book_,8,MISSING,,,No matching folder found in S3
Grand Funk Railroad,Grand Funk Railroad - Born To Die _PVG Book_,10,MISSING,,,No matching folder found in S3
Grand Funk Railroad,Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,23,MISSING,,,No matching folder found in S3
