"Artist","BookName","SourcePath","HasProcessed","ProcessedFolder","SongCount"
"Duran Duran","Duran Duran - Decade [PVG Book]","C:\Work\AWSMusic\SheetMusic\Duran Duran\books\Duran Duran - Decade [PVG Book].pdf","True","Decade [pvg Book]","0"
"Duran Duran","Duran Duran - Seven & The Ragged Tiger [Jap Band Score]","C:\Work\AWSMusic\SheetMusic\Duran Duran\books\Duran Duran - Seven & The Ragged Tiger [Jap Band Score].pdf","True","Seven & The Ragged Tiger [jap Band Score]","0"
"Eagles","Eagles - Greatest Hits (1971-1975)","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - Greatest Hits (1971-1975).pdf","True","Greatest Hits (1971-1975)","10"
"Eagles","Eagles - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - Greatest Hits.pdf","True","Greatest Hits","10"
"Eagles","Eagles - Hotel California (Guitar Songbook)","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - Hotel California (Guitar Songbook).pdf","True","Hotel California (guitar Songbook)","1"
"Eagles","Eagles - Made Easy For Guitar","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - Made Easy For Guitar.pdf","True","Made Easy For Guitar","6"
"Eagles","Eagles - New Eagles Complete","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - New Eagles Complete.pdf","True","New Eagles Complete","67"
"Eagles","Eagles - The Best Of The Eagles - Songbook","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - The Best Of The Eagles - Songbook.pdf","True","The Best Of The Eagles - Songbook","12"
"ELO","ELO - A New World Record","C:\Work\AWSMusic\SheetMusic\ELO\books\ELO - A New World Record.pdf","True","A New World Record","7"
"ELO","ELO - Anthology [PVG]","C:\Work\AWSMusic\SheetMusic\ELO\books\ELO - Anthology [PVG].pdf","True","Anthology [pvg]","0"
"ELO","ELO - Discovery [PVG Book]","C:\Work\AWSMusic\SheetMusic\ELO\books\ELO - Discovery [PVG Book].pdf","True","Discovery [pvg Book]","0"
